Mass	RT	T0R1L	T0R1R	T0R2L	T0R2R	T1R3L	T1R3R	T1R4L	T1R4R	T2R5L	T2R5R	T2R6L	T2R6R	T3R7L	T3R7R	T3R8L	T3R8R	relation.id	relation.ship	codadw	charge
72.03955326	507.8205624	2.15E+07	1.81E+07	3.37E+07	2.64E+07	6045678	2.62E+07	3.22E+07	2.36E+07	3.14E+07	2.65E+07	3.79E+07	3.19E+07	5.64E+07	5.98E+07	3.77E+07	3.86E+07	89	bp	0.983703908	1
255.0859936	767.2133789	4.33E+07	3.35E+07	5.79E+07	3.50E+07	2.98E+07	1.57E+07	4.62E+07	3.67E+07	4.01E+07	2.57E+07	3.68E+07	2.12E+07	5.33E+07	2.29E+07	3.59E+07	2.50E+07	90	bp	0.992735884	1
216.1001585	850.4846954	360722.6563	414740.6875	744534.5	435093.3125	2.12E+07	2.88E+07	2.91E+07	1.61E+07	3.41E+07	5.75E+07	2.08E+07	3.74E+07	3.56E+07	5.68E+07	4.48E+07	1.77E+07	91	bp	0.964109472	1
203.0923592	1002.738121	4234923.5	2507159.25	4875078	4418110	2.71E+07	2.69E+07	4.30E+07	3.28E+07	4.48E+07	1.98E+07	3.30E+07	3.42E+07	4.05E+07	4.13E+07	5.51E+07	1.66E+07	92	bp	0.9606984	1
203.0923571	1008.684998	1851609.375	1932202.5	6933391.5	5865029.5	4390786.5	2028505.625	6653072	6477002.5	4.48E+07	6965895.5	5708175.5	4052308.75	5955870	3966979.5	5.51E+07	6039291.5	93	bp	0.966730303	1
209.9933735	813.8238716	998791.1875	3562562	3631499.25	4949051	5.48E+07	4097556.5	6064528	5563602.5	4832316.5	4813005	2736709.75	3916550.5	2721840.75	4727210	3722768.75	3846487.5	94	bp	0.957277188	1
173.105626	1173.226852	1.23E+07	3316987	5.48E+07	6060702.5	2147158.25	2258668.75	4186701.5	3687881.75	3633997.75	2890026.25	4303965	4555967.5	1.10E+07	2.03E+07	5964207	3148526.75	95	bp	0.982444308	1
72.03949942	1066.519386	490240.8125	309222.5313	679426.875	455965	5.43E+07	5075229.5	9428958	1.33E+07	9889467	1.06E+07	6241684	7581862	1.93E+07	1.26E+07	1.23E+07	6911727.5	96	bp	0.961335085	1
272.0901701	948.1103096	4.67E+07	2.05E+07	5.42E+07	2.09E+07	2842191.25	1549320.375	3973842.75	4689377.5	2309587.5	2383672.25	799300.1875	1354920	2258527.25	1379663.875	947039.1875	819927.4375	97	bp	0.952827576	1
190.0844907	941.16819	4175485.25	2306678	5631814	4098890.5	2.37E+07	2.18E+07	3.85E+07	2.65E+07	3.85E+07	1.75E+07	2.98E+07	2.88E+07	3.40E+07	3.58E+07	5.19E+07	1.78E+07	98	bp	0.977435631	1
