m/z,RT,Intensity,Identification,Prob
75.068083,1085.949951,14232.842773,StdMix2_27;M+H;[12C]2[1H]8[14N]2[15N]1,0.850000
192.114530,780.306030,14014.680664,StdMix2_14;M+H;[12C]11[1H]15[14N]1[15N]1[16O]1,0.995000
112.075610,1240.439941,13776.219727,StdMix2_4;M+NH4;[12C]6[1H]10[14N]1[16O]1,1.000000
134.105821,817.806030,13471.121094,StdMix2_19;M+H;[12C]6[1H]14[14N]1[16O]1[18O]1,1.000000
221.112996,651.450012,13416.949219,StdMix2_67;M+CH3OH+H;[12C]8[1H]17[14N]2[16O]5,1.000000
462.214369,396.417999,12914.386719,StdMix2_7;2M+Na;[12C]17[13C]1[1H]34[14N]2[16O]10[23Na]1,1.000000
236.110979,734.495972,12763.498047,StdMix2_59;M+ACN+H;[12C]11[13C]1[1H]15[14N]2[16O]3,1.000000
155.081262,869.838013,12653.273438,StdMix2_10;M+CH3OH+H;[12C]7[1H]11[14N]2[16O]2,0.995000
87.083129,1624.900024,12625.270508,StdMix2_53;M+ACN+2H;[12C]6[13C]1[1H]19[14N]5,1.000000
132.054097,2130.000000,12582.914063,StdMix2_11;M+H;[12C]5[1H]8[14N]1[16O]2[18O]1,0.870000
166.057830,900.390015,12447.417969,StdMix2_60;M+H;[12C]8[13C]1[1H]9[16O]3,1.000000
200.139133,885.960022,12159.099609,StdMix2_24;M+2ACN+H;[12C]9[1H]18[14N]3[16O]2,0.995000
172.107792,996.846008,12115.092773,StdMix2_30;M+2ACN+H;[12C]7[1H]14[14N]3[16O]2,1.000000
