DatabaseID,Adduct,Annotation,std1-Beer_esi_02022012.csv,std1-Beth20512.csv,std1-Eileen02512.csv,std1-Iain_Jonstone19_4_12.csv,std1-Ivana_29_2_12.csv,std1-Robello040512.csv
StdMix1_75,M+NH4,[12C]9[1H]17[14N]3[16O]9[31P]1,11589.275391,,,20666.25,,
StdMix1_67,M+Na,[12C]6[1H]12[16O]5[23Na]1,11517.832031,,,,,
StdMix1_14,M+CH3OH+H,[12C]12[1H]17[14N]2[16O]3,11481.553711,,,,,
StdMix1_42,2M+H,[12C]14[1H]29[14N]4[16O]8,11223.167969,,,,,
StdMix1_87,2M+H,[12C]24[1H]45[16O]22,11026.435547,,,,,
StdMix1_87,M+H,[12C]12[1H]23[16O]11,11012.081055,12213.158203,10935.0,69260.015625,,16189.886719
StdMix1_12,M+CH3OH+H,[12C]10[1H]16[14N]1[16O]3,10903.166992,,,,,
StdMix1_18,M+Na,[12C]5[1H]5[14N]5[16O]1[23Na]1,10866.967773,,,940799.375,91351.421875,29055.580078
StdMix1_24,M+NH4,[12C]2[1H]11[14N]2[16O]3[32S]1,10754.59082,,,,,
StdMix1_59,M+ACN+2H,[12C]5[1H]9[14N]1[16O]4,10660.0625,,,,,
StdMix1_40,M+ACN+Na,[12C]8[1H]15[14N]3[16O]4[32S]2[23Na]1,10156.625,,,,,
StdMix1_77,M+2ACN+H,[12C]7[1H]14[14N]3[16O]5[32S]1,10144.103516,,,,,
StdMix1_9,M+2H,[12C]17[1H]22[14N]4[16O]6,10119.801758,,,,,
StdMix1_57,M+H,[12C]19[1H]15[16O]5[32S]1,,1794847.125,1858829.5,,1037588.625,
StdMix1_16,M+H,[12C]5[1H]12[14N]1[16O]2[80Se]1,,1055274.5,,3301123.5,,1396053.125
StdMix1_3,M+H,[12C]8[1H]16[14N]1[16O]6,,407100.03125,435970.84375,799094.3125,547417.4375,
StdMix1_41,M+Na,[12C]6[1H]13[14N]1[16O]5[23Na]1,,286195.21875,,681189.4375,,
StdMix1_29,M+H+NH4,[12C]4[1H]12[14N]2[16O]4,,251430.78125,,,,
StdMix1_36,M+ACN+Na,[12C]11[1H]16[14N]4[16O]5[23Na]1,,218453.71875,231883.5,751937.625,,
